date,origin,destination,currency_code,minimum_price,first_quartile_price,median_price,third_quartile_price,maximum_price,EURMXN=X_Close,EURTRY=X_Close,EURUSD=X_Close
2019-01-01,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,22.52400016784668,6.046939849853516,1.1493064165115356
2019-01-02,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,22.495399475097656,6.057069778442383,1.14617121219635
2019-01-03,,,,,,,,,22.207000732421875,6.2140398025512695,1.1318106651306152
2019-01-04,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,22.341800689697266,6.226480007171631,1.1391078233718872
2019-01-05,,,,,,,,,,,
2019-01-06,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,,,
2019-01-07,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,22.128299713134766,6.0700201988220215,1.1410444974899292
2019-01-08,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,22.22879981994629,6.176159858703613,1.1479737758636475
2019-01-09,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,22.153900146484375,6.273489952087402,1.1456066370010376
2019-01-10,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,22.202999114990234,6.321310043334961,1.1554949283599854
2019-01-11,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,22.012300491333008,6.241829872131348,1.151012897491455
2019-01-12,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,,,
2019-01-13,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,,,
2019-01-14,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,21.933300018310547,6.276000022888184,1.146013617515564
2019-01-15,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,21.78019905090332,6.264699935913086,1.1472889184951782
2019-01-16,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,21.653499603271484,6.211480140686035,1.1416828632354736
2019-01-17,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,21.519399642944336,6.081210136413574,1.1398088932037354
2019-01-18,,,,,,,,,21.651199340820312,6.097529888153076,1.13926362991333
2019-01-19,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,,,
2019-01-20,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,,,
2019-01-21,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,21.70709991455078,6.0517401695251465,1.1365574598312378
2019-01-22,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,21.780349731445312,6.057380199432373,1.136932134628296
2019-01-23,,,,,,,,,21.77680015563965,6.068299770355225,1.1364023685455322
2019-01-24,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,21.66900062561035,6.016059875488281,1.1388224363327026
2019-01-25,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,21.518600463867188,5.9515299797058105,1.1313496828079224
2019-01-26,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,,,
2019-01-27,,,,,,,,,,,
2019-01-28,,,,,,,,,21.670799255371094,6.010149955749512,1.1413049697875977
2019-01-29,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,21.757999420166016,6.08066987991333,1.143000841140747
2019-01-30,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,21.82939910888672,6.0664801597595215,1.1435366868972778
2019-01-31,MAD,IST,USD,90.9,414.03,432.05,450.17,513.21,21.934999465942383,6.006700038909912,1.1487650871276855
2019-02-01,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.864999771118164,5.9258599281311035,1.1449507474899292
